
> ke-wedding-website@1.0.0 dev
> node "./node_modules/next/dist/bin/next" dev --hostname 127.0.0.1 --port 3000

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://127.0.0.1:3000
- Network:       http://127.0.0.1:3000
- Environments: .env.local

✓ Starting...
 GET /api/wedding-image?name=logo.png&v=1772389159594.0342 200 in 20ms (compile: 5ms, render: 15ms)
 GET /api/wedding-image?name=Skyline+church.jpg&v=1772389924431.0286 200 in 22ms (compile: 10ms, render: 12ms)
 GET /api/wedding-image?name=couple+picture.jpg&v=1772388681292.4543 200 in 71ms (compile: 10ms, render: 61ms)
 GET /photos 200 in 134ms (compile: 92ms, render: 42ms)
 GET /api/wedding-image?name=En+pic+1.jpg&v=1772200491261.471 200 in 24ms (compile: 3ms, render: 22ms)
 GET /api/wedding-image?name=En+pic+7.jpg&v=1772201115507.059 200 in 32ms (compile: 3ms, render: 29ms)
 GET /api/wedding-image?name=En+pic+2.jpg&v=1772200495122.1804 200 in 25ms (compile: 3ms, render: 22ms)
 GET /api/wedding-image?name=En+pic+3.jpg&v=1772200491993.6292 200 in 38ms (compile: 5ms, render: 33ms)
 GET /api/wedding-image?name=En+pic+4.jpg&v=1772200491312.6526 200 in 51ms (compile: 9ms, render: 42ms)
 GET /api/wedding-image?name=En+pic+5.jpg&v=1772200496249.2603 200 in 73ms (compile: 13ms, render: 60ms)
 GET /api/wedding-image?name=En+pic+6.jpg&v=1772200496146.6074 200 in 111ms (compile: 17ms, render: 94ms)
 GET /rsvp 200 in 162ms (compile: 103ms, render: 59ms)
 GET / 200 in 32ms (compile: 4ms, render: 28ms)
 GET /api/wedding-image?name=Asset+5.png&v=1772388877194.9731 200 in 23ms (compile: 10ms, render: 13ms)
 GET /api/wedding-image?name=Skyline+church.jpg&v=1772389924431.0286 200 in 25ms (compile: 15ms, render: 10ms)
 GET /api/wedding-image?name=couple+picture.jpg&v=1772388681292.4543 200 in 38ms (compile: 4ms, render: 34ms)
✓ Compiled in 47ms
 GET / 200 in 156ms (compile: 98ms, render: 58ms)
 GET / 200 in 47ms (compile: 4ms, render: 42ms)
 GET / 200 in 91ms (compile: 5ms, render: 86ms)
 GET / 200 in 64ms (compile: 5ms, render: 59ms)
 GET / 200 in 75ms (compile: 4ms, render: 71ms)
 GET / 200 in 44ms (compile: 4ms, render: 39ms)
 GET /photos 200 in 177ms (compile: 115ms, render: 61ms)
 GET /api/wedding-image?name=En+pic+3.jpg&v=1772200491993.6292 200 in 53ms (compile: 19ms, render: 33ms)
 GET /api/wedding-image?name=En+pic+4.jpg&v=1772200491312.6526 200 in 63ms (compile: 25ms, render: 38ms)
 GET /api/wedding-image?name=En+pic+1.jpg&v=1772200491261.471 200 in 78ms (compile: 7ms, render: 71ms)
 GET /api/wedding-image?name=En+pic+2.jpg&v=1772200495122.1804 200 in 92ms (compile: 14ms, render: 78ms)
 GET /api/wedding-image?name=En+pic+5.jpg&v=1772200496249.2603 200 in 35ms (compile: 4ms, render: 31ms)
 GET /api/wedding-image?name=En+pic+7.jpg&v=1772201115507.059 200 in 29ms (compile: 8ms, render: 21ms)
 GET /api/wedding-image?name=En+pic+6.jpg&v=1772200496146.6074 200 in 44ms (compile: 3ms, render: 41ms)
 GET /rsvp 200 in 148ms (compile: 104ms, render: 44ms)
 GET / 200 in 23ms (compile: 3ms, render: 20ms)
 GET /api/wedding-image?name=couple+picture.jpg&v=1772388681292.4543 200 in 27ms (compile: 3ms, render: 24ms)
 GET /api/wedding-image?name=Asset+5.png&v=1772388877194.9731 200 in 9ms (compile: 3ms, render: 6ms)
 GET /api/wedding-image?name=Skyline+church.jpg&v=1772389924431.0286 200 in 9ms (compile: 3ms, render: 6ms)
 GET /photos 200 in 42ms (compile: 6ms, render: 36ms)
 GET /api/wedding-image?name=En+pic+3.jpg&v=1772200491993.6292 200 in 48ms (compile: 20ms, render: 28ms)
 GET /api/wedding-image?name=En+pic+1.jpg&v=1772200491261.471 200 in 65ms (compile: 6ms, render: 59ms)
 GET /api/wedding-image?name=En+pic+2.jpg&v=1772200495122.1804 200 in 137ms (compile: 14ms, render: 123ms)
 GET /api/wedding-image?name=En+pic+4.jpg&v=1772200491312.6526 200 in 77ms (compile: 7ms, render: 70ms)
 GET /api/wedding-image?name=En+pic+5.jpg&v=1772200496249.2603 200 in 92ms (compile: 5ms, render: 87ms)
 GET /api/wedding-image?name=En+pic+7.jpg&v=1772201115507.059 200 in 42ms (compile: 9ms, render: 33ms)
 GET /api/wedding-image?name=En+pic+6.jpg&v=1772200496146.6074 200 in 66ms (compile: 4ms, render: 62ms)
 GET / 200 in 35ms (compile: 4ms, render: 31ms)
 GET /api/wedding-image?name=couple+picture.jpg&v=1772388681292.4543 200 in 20ms (compile: 3ms, render: 16ms)
 GET /api/wedding-image?name=Asset+5.png&v=1772388877194.9731 200 in 9ms (compile: 2ms, render: 7ms)
 GET /api/wedding-image?name=Skyline+church.jpg&v=1772389924431.0286 200 in 11ms (compile: 3ms, render: 8ms)
 GET / 200 in 459ms (compile: 74ms, render: 385ms)
 GET /api/wedding-image?name=logo.png 200 in 36ms (compile: 7ms, render: 29ms)
 GET /api/wedding-image?name=couple+picture.jpg&v=1772388681292.4543 200 in 57ms (compile: 5ms, render: 52ms)
 GET /api/wedding-image?name=Asset+5.png 404 in 24ms (compile: 4ms, render: 20ms)
 GET /api/wedding-image?name=logo.png&v=1772389159594.0342 200 in 30ms (compile: 11ms, render: 19ms)
 GET /api/wedding-image?name=Skyline+church.jpg&v=1772389924431.0286 200 in 16ms (compile: 7ms, render: 9ms)
 GET / 200 in 308ms (compile: 236ms, render: 72ms)
 GET /api/wedding-image?name=name+pic.png&v=1772624863949.0823 200 in 16ms (compile: 9ms, render: 8ms)
 GET / 200 in 54ms (compile: 4ms, render: 50ms)
 GET / 200 in 164ms (compile: 4ms, render: 160ms)
 GET / 200 in 90ms (compile: 10ms, render: 80ms)
 GET / 200 in 91ms (compile: 4ms, render: 86ms)
 GET / 200 in 53ms (compile: 7ms, render: 46ms)
 GET / 200 in 118ms (compile: 4ms, render: 114ms)
✓ Compiled in 178ms
 GET / 200 in 168ms (compile: 117ms, render: 51ms)
 GET / 200 in 103ms (compile: 3ms, render: 99ms)
 GET / 200 in 67ms (compile: 4ms, render: 63ms)
 GET /api/wedding-image?name=logo.png 200 in 14ms (compile: 3ms, render: 11ms)
 GET /api/wedding-image?name=couple+picture.jpg&v=1772388681292.4543 200 in 33ms (compile: 3ms, render: 30ms)
 GET /api/wedding-image?name=name+pic.png&v=1772624863949.0823 200 in 10ms (compile: 4ms, render: 6ms)
 GET /api/wedding-image?name=logo.png&v=1772389159594.0342 200 in 10ms (compile: 3ms, render: 8ms)
 GET /api/wedding-image?name=Skyline+church.jpg&v=1772389924431.0286 200 in 15ms (compile: 4ms, render: 10ms)
 GET /photos 200 in 172ms (compile: 122ms, render: 50ms)
 GET /api/wedding-image?name=En+pic+1.jpg&v=1772200491261.471 200 in 27ms (compile: 3ms, render: 24ms)
 GET /api/wedding-image?name=En+pic+2.jpg&v=1772200495122.1804 200 in 40ms (compile: 5ms, render: 35ms)
 GET /api/wedding-image?name=En+pic+7.jpg&v=1772201115507.059 200 in 33ms (compile: 5ms, render: 29ms)
 GET /api/wedding-image?name=En+pic+3.jpg&v=1772200491993.6292 200 in 109ms (compile: 8ms, render: 102ms)
 GET /api/wedding-image?name=En+pic+5.jpg&v=1772200496249.2603 200 in 134ms (compile: 34ms, render: 100ms)
 GET /api/wedding-image?name=En+pic+4.jpg&v=1772200491312.6526 200 in 148ms (compile: 27ms, render: 121ms)
 GET /api/wedding-image?name=En+pic+6.jpg&v=1772200496146.6074 200 in 161ms (compile: 40ms, render: 121ms)
✓ Compiled in 53ms
 GET /photos 200 in 50ms (compile: 4ms, render: 46ms)
 GET /wedding-party 200 in 200ms (compile: 142ms, render: 59ms)
 GET /qa 200 in 251ms (compile: 215ms, render: 36ms)
 GET / 200 in 123ms (compile: 87ms, render: 36ms)
 GET /api/wedding-image?name=name+pic.png&v=1772624863949.0823 200 in 10ms (compile: 3ms, render: 7ms)
 GET /api/wedding-image?name=Skyline+church.jpg&v=1772389924431.0286 200 in 10ms (compile: 2ms, render: 7ms)
 GET /api/wedding-image?name=couple+picture.jpg&v=1772388681292.4543 200 in 40ms (compile: 4ms, render: 36ms)
✓ Compiled in 72ms
 GET / 200 in 172ms (compile: 113ms, render: 59ms)
 GET / 200 in 155ms (compile: 104ms, render: 51ms)
✓ Compiled in 404ms
 GET / 200 in 2.8s (compile: 1229ms, render: 1574ms)
 GET / 200 in 233ms (compile: 6ms, render: 227ms)
  Reload env: .env.local
 GET / 200 in 127ms (compile: 77ms, render: 50ms)
  Reload env: .env.local
 GET / 200 in 139ms (compile: 76ms, render: 63ms)
 GET / 200 in 100ms (compile: 59ms, render: 41ms)
✓ Compiled in 206ms
 GET / 200 in 165ms (compile: 112ms, render: 53ms)
 GET / 200 in 177ms (compile: 4ms, render: 173ms)
 GET / 200 in 204ms (compile: 14ms, render: 191ms)
  Reload env: .env.local
 GET / 200 in 838ms (compile: 571ms, render: 268ms)
 GET / 200 in 1044ms (compile: 166ms, render: 877ms)
 GET /api/wedding-image?name=logo.png 200 in 156ms (compile: 126ms, render: 30ms)
 GET /api/wedding-image?name=couple+picture.jpg&v=1772388681292.4543 200 in 31ms (compile: 4ms, render: 27ms)
 GET /api/wedding-image?name=name+pic.png&v=1772624863949.0823 200 in 32ms (compile: 24ms, render: 9ms)
 GET /api/wedding-image?name=logo.png&v=1772389159594.0342 200 in 12ms (compile: 3ms, render: 9ms)
 GET /api/wedding-image?name=Skyline+church.jpg&v=1772389924431.0286 200 in 15ms (compile: 7ms, render: 9ms)
  Reload env: .env.local
 GET / 200 in 498ms (compile: 355ms, render: 143ms)
 GET / 200 in 452ms (compile: 17ms, render: 435ms)
 GET /api/wedding-image?name=logo.png 200 in 153ms (compile: 80ms, render: 73ms)
 GET /api/wedding-image?name=name+pic.png&v=1772624863949.0823 200 in 17ms (compile: 5ms, render: 12ms)
 GET /api/wedding-image?name=logo.png&v=1772389159594.0342 200 in 19ms (compile: 5ms, render: 14ms)
 GET /api/wedding-image?name=couple+picture.jpg&v=1772388681292.4543 200 in 68ms (compile: 5ms, render: 63ms)
 GET /api/wedding-image?name=Skyline+church.jpg&v=1772389924431.0286 200 in 22ms (compile: 9ms, render: 13ms)
✓ Compiled in 342ms
